15
600016|10001|1024|PO20140701084421320812|20140701084421387631|109328|5000|0|1|0|PB_SMT||109423|2014-07-01 08:47:29|20140701
600016|10001|1024|PO20140701100404358911|20140701100404383384|109104|600|500|1|-2|PB_SMT||101801|2014-07-01 10:07:11|20140701
600016|10001|1024|PO20140701100827841137|20140701100827741343|109104|3000|0|1|0|PB_SMT||109115|2014-07-01 10:11:36|20140701
600016|10001|1024|PO20140701103617979526|20140701103617145967|109104|600|500|1|-2|PB_SMT||101801|2014-07-01 10:39:23|20140701
600016|10001|1024|PO20140701104540457498|20140701104540288609|109104|1200|1000|1|-2|PB_SMT||101801|2014-07-01 10:48:51|20140701
600016|10001|1024|PO20140701105352534411|20140701105352776295|109328|2000|900|1|-2|PB_SMT||101801|2014-07-01 10:57:00|20140701
600016|10001|1024|PO20140701112509600581|20140701112509304310|109104|600|500|1|-2|PB_SMT||109115|2014-07-01 11:28:20|20140701
600016|10001|1024|PO20140701134043664654|20140701134043973415|1|100|0|1|0|PB_SMT||109115|2014-07-01 13:44:01|20140701
600016|10001|1024|PO20140701144847538831|20140701144847108654|109328|100000|0|1|0|PB_SMT||109423|2014-07-01 14:52:09|20140701
600016|10001|1024|PO20140701150130283190|20140701150130520424|1|100|0|1|0|PB_SMT||109115|2014-07-01 15:05:21|20140701
600016|10001|1024|PO20140701150914205068|20140701150914613831|102466|6000|5500|1|-2|PB_SMT||109115|2014-07-01 15:12:32|20140701
600016|10001|1024|PO20140701151744269398|20140701151744345862|102466|53000|49500|1|-2|PB_SMT||109115|2014-07-01 15:22:36|20140701
600016|10001|1024|PO20140701160101614233|20140701160101376190|102466|32000|30000|1|-2|PB_SMT||109115|2014-07-01 16:04:11|20140701
600016|10001|1024|PO20140701161850281934|20140701161850884145|109104|600|500|1|-2|PB_SMT||101801|2014-07-01 16:21:58|20140701
600016|10001|1024|PO20140701164402196801|20140701164402667225|109328|1200|0|1|0|PB_SMT||109082|2014-07-01 16:47:16|20140701
